,data_inicio,data_fim,m7,m9,asc2,totalAC2,no_sprint
sprint 0,02/02/2021,08/02/2021,100.0,85.0,66.94444444444444,92.5,0
sprint 1,09/02/2021,15/02/2021,100.0,62.5,59.02777777777777,81.25,1
sprint 2,16/02/2021,22/02/2021,100.0,100.0,72.91666666666667,100.0,2
sprint 3,23/02/2021,01/03/2021,100.0,110.0,77.22222222222223,105.0,3
sprint 4,02/03/2021,08/03/2021,100.0,65.0,60.0,82.5,4
sprint 5,09/03/2021,15/03/2021,100.0,16.67,45.37166666666667,58.335,5
sprint 6,16/03/2021,22/03/2021,100.0,58.33,59.72138888888889,79.16499999999999,6
sprint 7,23/03/2021,29/03/2021,100.0,11.11,45.370000000000005,55.555,7
sprint 8,30/03/2021,05/04/2021,80.0,20.0,41.666666666666664,50.0,8
sprint 10,14/03/2021,19/04/2021,100.0,16.67,47.223333333333336,58.335,10
sprint 11,20/04/2021,26/04/2021,33.33,0.0,18.5175,16.665,11
sprint 12,27/04/2021,03/05/2021,33.33,0.0,16.665555555555557,16.665,12
sprint 13,04/05/2021,10/05/2021,62.5,93.75,61.805555555555564,78.125,13
sprint 14,11/05/2021,17/05/2021,15.38,92.31,40.383611111111115,53.845,14
sprint 15,18/05/2021,24/05/2021,0.0,100.0,38.88888888888889,50.0,15
